country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Tanzania,2017,uniqueid_3571,Urban,No,4,17,Male,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_5072,Urban,No,2,35,Female,Spouse,Single/Never Married,Tertiary education,Self employed
Kenya,2018,uniqueid_2430,Rural,Yes,2,37,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_680,Rural,Yes,3,63,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_1648,Urban,No,2,22,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_6349,Rural,Yes,2,49,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_4388,Rural,Yes,5,35,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_1945,Urban,No,2,26,Female,Spouse,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_2051,Rural,Yes,7,20,Female,Child,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_8012,Rural,Yes,3,17,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_4190,Rural,Yes,10,33,Female,Child,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_5355,Urban,Yes,2,39,Male,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_4899,Rural,No,3,44,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_220,Rural,Yes,3,63,Female,Head of Household,Widowed,Vocational/Specialised training,Farming and Fishing
Rwanda,2016,uniqueid_8052,Rural,Yes,6,59,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1921,Rural,Yes,4,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1459,Urban,No,8,40,Male,Head of Household,Married/Living together,No formal education,Informally employed
Uganda,2018,uniqueid_1234,Urban,Yes,4,23,Female,Spouse,Married/Living together,Secondary education,Other Income
Rwanda,2016,uniqueid_1275,Rural,Yes,4,42,Female,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_5914,Urban,Yes,3,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_3046,Rural,Yes,3,63,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_2147,Rural,Yes,3,56,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_6315,Rural,Yes,6,39,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1709,Urban,Yes,2,57,Female,Spouse,Single/Never Married,No formal education,Self employed
Kenya,2018,uniqueid_2563,Urban,Yes,5,32,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
Tanzania,2017,uniqueid_720,Urban,No,1,78,Female,Head of Household,Widowed,No formal education,No Income
Rwanda,2016,uniqueid_2483,Rural,Yes,1,24,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_4527,Rural,Yes,6,17,Male,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_3586,Rural,Yes,2,40,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_5281,Rural,No,1,43,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Rwanda,2016,uniqueid_6277,Rural,Yes,6,39,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_3896,Rural,No,6,16,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_1189,Rural,No,4,32,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_5886,Rural,No,1,80,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1764,Urban,Yes,2,50,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_486,Rural,No,5,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1140,Rural,Yes,1,25,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Rwanda,2016,uniqueid_1234,Rural,No,5,56,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_1057,Urban,Yes,4,41,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_3873,Rural,Yes,4,23,Female,Parent,Divorced/Seperated,Tertiary education,Self employed
Rwanda,2016,uniqueid_8531,Rural,Yes,3,31,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_4300,Urban,Yes,2,29,Male,Spouse,Single/Never Married,Tertiary education,No Income
Rwanda,2016,uniqueid_2287,Rural,Yes,6,40,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_4932,Rural,Yes,3,20,Male,Head of Household,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_5183,Urban,Yes,3,32,Male,Other relative,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_194,Urban,Yes,3,36,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private
Rwanda,2016,uniqueid_4992,Rural,Yes,3,52,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_3238,Urban,Yes,2,32,Female,Head of Household,Single/Never Married,Secondary education,Formally employed Government
Rwanda,2016,uniqueid_3739,Rural,Yes,5,41,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_3611,Urban,Yes,2,50,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,uniqueid_3028,Rural,Yes,7,18,Male,Child,Single/Never Married,Secondary education,Other Income
Rwanda,2016,uniqueid_6373,Rural,Yes,10,42,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_5845,Rural,Yes,6,36,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_542,Rural,No,1,36,Male,Head of Household,Single/Never Married,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_4907,Rural,Yes,6,21,Female,Parent,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,uniqueid_8692,Rural,No,4,47,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_5098,Rural,Yes,2,30,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_5592,Rural,Yes,4,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_4259,Rural,Yes,9,47,Female,Head of Household,Married/Living together,No formal education,Self employed
Tanzania,2017,uniqueid_1472,Rural,Yes,2,24,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
Tanzania,2017,uniqueid_982,Urban,No,1,38,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_94,Urban,Yes,2,28,Female,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
Tanzania,2017,uniqueid_1514,Urban,No,1,71,Female,Head of Household,Single/Never Married,No formal education,Self employed
Kenya,2018,uniqueid_1715,Urban,Yes,1,70,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_4902,Urban,Yes,1,35,Female,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_6118,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_3662,Urban,No,3,18,Male,Child,Divorced/Seperated,Primary education,Informally employed
Uganda,2018,uniqueid_931,Rural,Yes,7,48,Female,Head of Household,Widowed,Primary education,Self employed
Kenya,2018,uniqueid_3396,Rural,No,2,70,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,uniqueid_7284,Rural,Yes,4,19,Male,Child,Single/Never Married,Secondary education,Self employed
Rwanda,2016,uniqueid_6151,Rural,Yes,3,19,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_3647,Urban,No,1,41,Male,Head of Household,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_2170,Rural,Yes,1,42,Female,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_8005,Rural,Yes,1,52,Male,Head of Household,Married/Living together,No formal education,Self employed
Kenya,2018,uniqueid_924,Urban,Yes,1,29,Male,Head of Household,Single/Never Married,Tertiary education,Farming and Fishing
Rwanda,2016,uniqueid_7246,Urban,Yes,3,18,Male,Child,Single/Never Married,Secondary education,Formally employed Government
Rwanda,2016,uniqueid_7876,Rural,Yes,7,19,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_6557,Rural,Yes,7,16,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_6120,Urban,Yes,3,20,Male,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_6364,Urban,Yes,3,25,Male,Parent,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_6015,Rural,Yes,3,59,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_4827,Urban,No,2,94,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1313,Urban,Yes,5,24,Male,Parent,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_5456,Rural,Yes,2,27,Female,Spouse,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_7276,Rural,Yes,7,24,Female,Child,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_4753,Urban,Yes,3,26,Female,Other relative,Single/Never Married,Vocational/Specialised training,Formally employed Private
Kenya,2018,uniqueid_4009,Rural,Yes,4,28,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_2806,Urban,Yes,2,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_4843,Urban,Yes,7,35,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_5735,Urban,Yes,2,29,Male,Other non-relatives,Divorced/Seperated,Vocational/Specialised training,Self employed
Rwanda,2016,uniqueid_216,Rural,Yes,7,19,Male,Child,Single/Never Married,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1305,Urban,Yes,2,30,Female,Spouse,Single/Never Married,Primary education,Self employed
Uganda,2018,uniqueid_563,Urban,Yes,3,24,Female,Spouse,Married/Living together,Primary education,No Income
Rwanda,2016,uniqueid_6482,Rural,Yes,8,20,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_5201,Rural,No,4,34,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_3008,Urban,No,2,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_8076,Rural,Yes,1,24,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_4303,Rural,Yes,1,25,Female,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private
Rwanda,2016,uniqueid_1480,Rural,Yes,5,35,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_239,Rural,Yes,2,60,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_2716,Rural,Yes,5,17,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_6505,Rural,Yes,6,41,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_3993,Urban,No,2,27,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_4520,Rural,Yes,2,48,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,uniqueid_2097,Rural,Yes,6,47,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1998,Rural,Yes,4,33,Male,Child,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_586,Rural,Yes,6,38,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Uganda,2018,uniqueid_2080,Urban,Yes,2,26,Male,Head of Household,Married/Living together,Secondary education,Other Income
Rwanda,2016,uniqueid_8753,Rural,No,8,33,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_6608,Urban,Yes,5,47,Female,Head of Household,Divorced/Seperated,Secondary education,Formally employed Government
Tanzania,2017,uniqueid_4550,Urban,Yes,7,30,Male,Parent,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_991,Rural,Yes,4,35,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1121,Rural,Yes,6,48,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed
Rwanda,2016,uniqueid_2115,Rural,Yes,5,25,Male,Child,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_3555,Rural,Yes,3,54,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_3901,Rural,Yes,3,25,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_1657,Rural,Yes,8,36,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_4983,Rural,Yes,6,35,Female,Head of Household,Married/Living together,Primary education,Informally employed
Uganda,2018,uniqueid_678,Rural,Yes,6,35,Female,Spouse,Married/Living together,Primary education,Other Income
Rwanda,2016,uniqueid_594,Rural,No,2,73,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_8527,Rural,Yes,5,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_5550,Rural,No,6,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_6792,Rural,No,6,43,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_8540,Rural,Yes,3,27,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_363,Rural,Yes,6,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_4146,Urban,Yes,1,53,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,uniqueid_975,Urban,Yes,3,21,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_5799,Rural,Yes,2,83,Male,Head of Household,Widowed,No formal education,Informally employed
Tanzania,2017,uniqueid_778,Rural,Yes,1,54,Female,Head of Household,Widowed,Primary education,Self employed
Kenya,2018,uniqueid_2387,Urban,No,2,17,Female,Other relative,Single/Never Married,Primary education,Other Income
Tanzania,2017,uniqueid_5665,Rural,Yes,2,23,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_849,Urban,Yes,2,21,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Tanzania,2017,uniqueid_3939,Rural,Yes,2,28,Female,Spouse,Single/Never Married,Tertiary education,Informally employed
Tanzania,2017,uniqueid_3168,Rural,Yes,1,25,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Kenya,2018,uniqueid_5677,Rural,Yes,11,60,Male,Child,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_7918,Rural,Yes,3,77,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_2833,Urban,Yes,5,28,Male,Parent,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_3236,Rural,Yes,5,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_4534,Rural,Yes,4,56,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,uniqueid_779,Rural,No,4,64,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_2883,Rural,No,6,42,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_4188,Urban,No,2,26,Female,Spouse,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_3825,Urban,Yes,4,57,Female,Spouse,Married/Living together,Primary education,Formally employed Government
Kenya,2018,uniqueid_877,Rural,No,6,45,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_2717,Urban,Yes,4,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_5625,Rural,Yes,7,35,Female,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_4774,Urban,Yes,9,56,Male,Head of Household,Married/Living together,Primary education,Other Income
Rwanda,2016,uniqueid_1014,Rural,Yes,4,33,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1867,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_4944,Urban,Yes,2,28,Male,Spouse,Married/Living together,Vocational/Specialised training,Informally employed
Rwanda,2016,uniqueid_7941,Urban,Yes,3,45,Female,Spouse,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_4364,Rural,No,6,34,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_3483,Urban,Yes,5,79,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_4313,Rural,No,1,80,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,2018,uniqueid_5063,Urban,Yes,3,25,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_191,Urban,Yes,3,53,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_3676,Urban,No,5,26,Female,Child,Divorced/Seperated,No formal education,Self employed
Tanzania,2017,uniqueid_1414,Urban,Yes,4,45,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_2976,Rural,Yes,1,78,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_4953,Rural,Yes,5,44,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_3657,Rural,Yes,3,19,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Uganda,2018,uniqueid_1296,Rural,Yes,3,45,Female,Spouse,Married/Living together,Primary education,No Income
Rwanda,2016,uniqueid_4642,Rural,Yes,7,43,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_5009,Rural,No,3,16,Female,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_2351,Rural,Yes,6,43,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_2277,Rural,Yes,5,55,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_1457,Urban,Yes,3,37,Female,Other relative,Widowed,Secondary education,Self employed
Tanzania,2017,uniqueid_206,Urban,Yes,2,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_4534,Rural,Yes,3,62,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_2456,Rural,Yes,7,40,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_2915,Urban,Yes,2,25,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
Kenya,2018,uniqueid_662,Rural,Yes,3,20,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_7925,Rural,Yes,8,48,Female,Spouse,Married/Living together,Primary education,Informally employed
Uganda,2018,uniqueid_130,Rural,No,4,23,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_4298,Rural,Yes,1,70,Female,Head of Household,Widowed,Primary education,Self employed
Rwanda,2016,uniqueid_8053,Rural,No,2,70,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Uganda,2018,uniqueid_1770,Rural,No,2,23,Female,Head of Household,Divorced/Seperated,No formal education,Formally employed Private
Tanzania,2017,uniqueid_3453,Rural,Yes,2,18,Female,Child,Divorced/Seperated,Tertiary education,Remittance Dependent
Tanzania,2017,uniqueid_4408,Urban,Yes,2,48,Female,Spouse,Single/Never Married,No formal education,Self employed
Rwanda,2016,uniqueid_6340,Rural,Yes,6,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_5858,Rural,Yes,4,23,Female,Parent,Divorced/Seperated,Primary education,Remittance Dependent
Kenya,2018,uniqueid_460,Urban,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_5216,Urban,Yes,3,42,Female,Child,Divorced/Seperated,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_7252,Rural,Yes,3,24,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_5238,Rural,Yes,2,62,Female,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_457,Rural,Yes,5,30,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_2163,Rural,Yes,7,26,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_7239,Rural,Yes,1,45,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,uniqueid_875,Urban,Yes,3,48,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Uganda,2018,uniqueid_1504,Rural,Yes,6,36,Male,Head of Household,Married/Living together,Primary education,Other Income
Kenya,2018,uniqueid_3789,Rural,No,5,30,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Uganda,2018,uniqueid_1585,Rural,No,6,45,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,uniqueid_6714,Rural,Yes,3,61,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_171,Rural,Yes,4,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_2781,Rural,Yes,5,20,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_2271,Rural,Yes,6,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_5215,Rural,Yes,4,30,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_4060,Rural,Yes,8,42,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1008,Urban,No,6,18,Female,Parent,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_2938,Rural,No,6,29,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_4575,Urban,Yes,4,49,Male,Head of Household,Married/Living together,Tertiary education,Other Income
Kenya,2018,uniqueid_5730,Rural,Yes,7,31,Female,Spouse,Married/Living together,Secondary education,Informally employed
Tanzania,2017,uniqueid_3770,Urban,No,1,56,Female,Head of Household,Widowed,No formal education,Self employed
Kenya,2018,uniqueid_5630,Rural,Yes,3,48,Male,Head of Household,Married/Living together,No formal education,Self employed
Tanzania,2017,uniqueid_2235,Rural,Yes,6,19,Male,Parent,Divorced/Seperated,Tertiary education,Formally employed Private
Uganda,2018,uniqueid_2040,Rural,Yes,4,26,Female,Spouse,Married/Living together,Secondary education,Other Income
Kenya,2018,uniqueid_1474,Rural,Yes,2,58,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_744,Urban,No,3,60,Female,Head of Household,Married/Living together,No formal education,Government Dependent
Rwanda,2016,uniqueid_5765,Rural,Yes,9,16,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_1568,Rural,No,5,54,Male,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_5087,Urban,Yes,2,32,Female,Head of Household,Married/Living together,Vocational/Specialised training,Remittance Dependent
Tanzania,2017,uniqueid_5739,Rural,Yes,1,36,Female,Head of Household,Single/Never Married,No formal education,Self employed
Rwanda,2016,uniqueid_7256,Rural,Yes,7,61,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Uganda,2018,uniqueid_133,Rural,Yes,8,39,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1571,Rural,No,1,60,Male,Head of Household,Widowed,Secondary education,Self employed
Tanzania,2017,uniqueid_5276,Urban,No,3,30,Female,Spouse,Single/Never Married,No formal education,Self employed
Kenya,2018,uniqueid_570,Urban,Yes,1,41,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_136,Urban,Yes,4,30,Female,Spouse,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_4423,Rural,No,3,24,Female,Child,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1706,Urban,Yes,1,20,Female,Head of Household,Widowed,No formal education,Self employed
Uganda,2018,uniqueid_286,Rural,No,2,23,Male,Head of Household,Married/Living together,No formal education,Dont Know/Refuse to answer
Kenya,2018,uniqueid_5971,Urban,Yes,3,19,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Tanzania,2017,uniqueid_560,Urban,Yes,1,25,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Kenya,2018,uniqueid_2123,Rural,Yes,3,52,Female,Spouse,Married/Living together,Vocational/Specialised training,Self employed
Tanzania,2017,uniqueid_4024,Urban,Yes,3,23,Female,Other relative,Divorced/Seperated,Tertiary education,Informally employed
Tanzania,2017,uniqueid_6188,Urban,Yes,1,34,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_5446,Urban,Yes,3,18,Male,Parent,Divorced/Seperated,Primary education,Self employed
Rwanda,2016,uniqueid_6590,Urban,Yes,3,34,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_5131,Urban,Yes,1,64,Female,Head of Household,Widowed,Primary education,Self employed
Kenya,2018,uniqueid_5875,Urban,Yes,4,32,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_8728,Rural,Yes,6,45,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_2083,Urban,Yes,5,40,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_4015,Rural,No,7,70,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
Tanzania,2017,uniqueid_3869,Urban,No,2,62,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_5536,Rural,No,5,30,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_6184,Urban,No,4,45,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1995,Urban,Yes,4,52,Male,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_3750,Rural,No,3,59,Male,Other relative,Widowed,Primary education,Informally employed
Rwanda,2016,uniqueid_5774,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_8029,Rural,No,1,74,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_4087,Urban,Yes,1,40,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_758,Rural,Yes,3,30,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_434,Urban,No,4,19,Female,Parent,Divorced/Seperated,Tertiary education,No Income
